id,work_type,magazine_title,magazine_pub_date,magazine_issue_info,serialized,serial_parts
1,novel,,,,false,
3,novel,,,,false,
4,novel,,,,false,
5,novel,,,,false,
6,novel,,,,false,
7,novel,,,,false,
8,novel,,,,false,
9,,,,,false,
10,novel,,,,false,
11,,,,,false,
12,,,,,false,
13,,,,,false,
15,,,,,false,
18,,,,,false,
19,novel,,,,false,
20,novel,,,,false,
21,novel,,,,false,
22,novel,,,,false,
23,novel,,,,false,
24,novel,,,,false,
26,novel,,,,false,
28,,,,,false,
30,,,,,false,
31,novel,,,,false,
32,novel,,,,false,
33,novella,Young's Magazine,,,false,
34,,,,,false,
35,,,,,false,
36,,,,,false,
40,novel,,,,false,
41,novel,,,,false,
42,short_story,Cosmopolitan,07-01-1917,July 1917,false,
44,,,,,false,
45,,,,,false,
46,short_story,,,,false,
47,novel,,,,false,
48,short_story,Women's Stories,05-15-1914,15 May-1 Jun 1914,true,3
49,novel,,,,false,
50,novel,,,,false,
51,novel,,,,false,
52,short_story,Cosmopolitan Magazine,06-01-1917,June 1917,false,
53,short_story,Cosmopolitan Magazine,06-01-1918,June 1918,false,
55,short_story,,,,false,
56,short_story,Smith's Magazine,08-01-1918,Aug 1918,false,
57,novel,,,,false,
60,short_story,Cosmopolitan,03-01-1919,Mar 1919,false,
61,novel,,,,false,
62,novel,,,,false,
63,short_story,Snappy Stories,01-01-1919,,false,
65,,,,,false,
66,,,,,false,
72,novel,,,,false,
73,novel,,,,false,
74,novel,,,,false,
75,short_story,,,,false,
76,novel,,,,false,
77,,,,,false,
79,,,,,false,
80,novel,,,,false,
81,novella,Redbook,12-01-1920,Dec 1920-Feb 1921,true,3
83,,,,,false,
84,short_story,Redbook,02-01-1920,Feb 1920,false,
85,novel,,,,false,
86,short_story,Saturday Evening Post,08-15-1914,,false,
87,short_story,Cosmopolitan,,,false,
88,,,,,false,
89,short_story,Saturday Evening Post,02-14-1920,,false,
90,short_story,,,,false,
91,novel,,,,false,
92,novel,,,,false,
93,,,,,false,
94,,,,,false,
95,short_story,Saturday Evening Post,10-28-1922,28 Oct-18 Nov 1922,true,3
96,novel,,,,false,
97,short_story,Saturday Evening Post,12-05-1914,,false,
98,short_story,,,,false,
99,novel,,,,false,
100,novel,,,,false,
101,novel,,,,false,
102,short_story,Metropolitan,,Sep 1924-Oct 1924,false,
104,novel,,,,false,
106,novel,,,,false,
107,short_story,,,,false,
108,short_story,Cosmopolitan,02-01-1924,Feb 1924,false,
110,,,,,false,
111,novel,,,,false,
112,novel,,,,false,
114,novella,Saturday Evening Post,05-05-1923,5 May-19 May 1923,true,3
115,,,,,false,
117,short_story,Ainslee's,02-01-1923,Feb 1923,false,
118,novel,,,,false,
119,novel,,,,false,
120,novel,,,,false,
121,novel,,,,false,
122,short_story,Red Book Magazine,10-01-1925,Oct 1925,false,
124,novel,,,,false,
127,,,,,false,
129,novel,,,,false,
130,short_story,,,,false,
131,novel,,,,false,
132,novel,,,,false,
135,short_story,Hearst's International-Cosmopolitan,02-01-1926,Feb 1926,false,
136,short_story,Saturday Evening Post,07-09-1927,9 Jul-16 Jul 1927,true,2
137,short_story,Liberty,07-31-1926,,false,
138,short_story,Everybody's Magazine,,Jan-Jul 1919,false,
139,short_story,Hearst's International-Cosmopolitan,01-01-1926,Jan 1926,false,
140,novel,,,,false,
143,short_story,,,,false,
145,novel,,,,false,
146,short_story,Hearst's International-Cosmopolitan,05-01-1925,May 1925,false,
148,short_story,Hearst's International-Cosmopolitan,02-01-1928,Feb 1928,false,
149,short_story,,,,false,
151,,,,,false,
152,short_story,American Magazine,06-01-1926,June 1926,false,
153,novel,,,,false,
154,novel,,,,false,
155,short_story,Saturday Evening Post,12-14-1929,14-28 Dec 1929,false,
156,,,,,false,
158,novel,,,,false,
159,short_story,Redbook,05-01-1926,May 1926,false,
161,novel,,,,false,
162,novel,,,,false,
163,novel,,,,false,
164,novel,,,,false,
165,novel,,,,false,
166,short_story,College Humor,02-01-1931,Feb 1931,false,
168,novel,,,,false,
169,novel,,,,false,
171,novel,,,,false,
175,novel,,,,false,
176,short_story,,,,false,
178,,,,,false,
179,short_story,,,,false,
180,novel,,,,false,
181,short_story,College Humor,08-01-1930,Aug 1930,false,
183,short_story,College Humor,02-01-1932,Feb-Mar 1932,false,
185,novel,,,,false,
186,short_story,Heast's International-Cosmopolitan,03-01-1933,Mar 1933,false,
187,novel,,,,false,
188,short_story,Red Book Magazine,11-01-1928,Nov 1928,false,
189,novella,Liberty,,24 Jun-9 Sep 1933,true,
191,novel,,,,false,
192,short_story,Saturday Evening Post,08-13-1921,,false,
193,novel,,,,false,
194,,,,,false,
195,short_story,Hearst's International-Cosmopolitan,02-01-1934,Feb 1934,false,
196,short_story,Hearst's International-Cosmopolitan,,,false,
197,short_story,Hearst's International-Cosmopolitan,05-01-1935,May 1935,false,
198,novel,,,,false,
199,short_story,Hearst's International-Cosmopolitan,11-01-1934,Nov 1934,false,
200,short_story,,,,false,
201,short_story,Hearst's International-Cosmopolitan,02-01-1935,Feb 1935,false,
202,short_story,Hearst's International-Cosmopolitan,07-01-1934,Jul 1934,false,
203,novel,,,,false,
204,short_story,Hearst's International-Cosmopolitan,08-01-1933,Aug 1933,false,
205,novel,,,,false,
206,short_story,Good Housekeeping,01-01-1936,Jan 1936,false,
207,short_story,,,,false,
209,short_story,Hearst's International-Cosmopolitan,03-01-1937,Mar 1937,false,
210,short_story,Hearst's International-Cosmopolitan,03-01-1937,Mar 1937,false,
211,short_story,Collier's,04-10-1937,,false,
212,short_story,Pictorial Review,02-01-1937,Feb 1937,false,
213,short_story,Hearst's International-Cosmopolitan,03-01-1937,Mar 1937,false,
214,novel,,,,false,
215,short_story,Red Book Magazine,11-01-1936,Nov-Dec 1936,false,
217,,,,,false,
218,novel,,,,false,
219,short_story,Hearst's International-Cosmopolitan,12-01-1938,Dec 1938,false,
220,novel,,,,false,
222,novel,,,,false,
226,collection,,,,false,
228,,,,,false,
229,,,,,false,
230,,,,,false,
231,poem,,,,false,
234,short_story,Ladies Home Journal,01-01-1943,Jan 1943,false,
236,,,,,false,
237,novel,,,,false,
239,,,,,false,
243,,,,,false,
244,,,,,false,
246,novella,Hearst's International-Cosmopolitan,03-01-1947,Mar 1947,false,
247,novel,,,,false,
248,novel,,,,false,
253,novel,,,,false,
255,short_story,Woman's Day,08-01-1948,Aug 1948,false,
257,short_story,,,,false,
259,short_story,American Magazine,04-01-1948,April 1948,false,
260,short_story,Ellery Queen's Mystery Magazine,10-01-1950,Oct 1950,false,
262,short_story,,,,false,
263,,,,,false,
266,short_story,,,,false,
267,,,,,false,
268,novel,,,,false,
269,short_story,Ladies' Home Journal,06-01-1951,June 1951,false,
270,short_story,,,,false,
272,novella,Good Housekeeping,,,false,
273,,,,,false,
274,novel,,,,false,
275,novel,,,,false,
276,novel,,,,false,
284,,,,,false,
288,novel,Liberty,,21 Jan-18 Feb 1933,false,4
289,short_story,Saturday Evening Post,11-17-1917,,false,
290,short_story,Woman's Home Companion,08-01-1948,Aug 1948,false,
291,short_story,,,,false,
292,short_story,,,,false,
297,short_story,Collier's,09-19-36,,false,
298,novel,,,,false,
300,short_story,Success Magazine,02-01-1922,Feb-Mar 1922,true,2
304,short_story,Liberty,01-30-1937,,false,
311,short_story,Good Housekeeping,12-01-1942,,false,
319,novel,,,,false,
320,,,,,false,
321,short_story,Saturday Evening Post,11-13-1920,,false,
322,,,,,false,
323,,,,,false,
324,novel,,,,false,
328,,,,,false,
337,,,,,false,
338,,,,,false,
340,short_story,,,,false,
341,novel,,,,false,
345,short_story,Hearst's International-Cosmopolitan,09-01-1932,Sep 1932,false,
346,short_story,,,,false,
350,short_story,Saturday Evening Post,11-22-1919,,false,
351,novel,,,,false,
353,,,,,false,
357,,,,,false,
358,,,,,false,
360,novel,,,,false,
362,novel,,,,false,
363,novel,,,,false,
364,novel,,,,false,
365,novel,,,,false,
368,novel,,,,false,
371,short_story,Saturday Evening Post,09-25-1926,,false,
372,novella,Snappy Stories,09-04-1917,,false,
373,novella,All-Story Weekly,,,false,
376,short_story,Snappy Stories,05-01-1920,,false,
379,,,,,false,
380,,,,,false,
381,,,,,false,
382,,,,,false,
384,novel,,,,false,
385,,,,,false,
393,short_story,Saturday Evening Post,08-11-1917,,false,
396,,,,,false,
397,,,,,false,
398,short_story,Snappy Stories,12-01-1919,Dec 1919-1 Mar 1920,true,4
400,,,,,false,
405,short_story,,,,false,
408,,,,,false,
409,,,,,false,
416,short_story,People's Home Journal,,Apr-Jun 1920,false,
419,short_story,Saturday Evening Post,11-22-1919,,false,
421,novel,,,,false,
424,,,,,false,
430,,,,,false,
431,novel,,,,false,
432,,,,,false,
436,short_story,Blue Book,02-01-1919,Feb-Apr 1919,true,3
441,short_story,,,,false,
442,short_story,,,,false,
443,short_story,Liberty,03-16-1929,,false,
444,short_story,Hearst's International-Cosmopolitan,11-01-1939,Nov 1939,false,
446,short_story,,,,false,
454,short_story,Ladies Home Journal,10-01-1941,Oct 1941,false,
456,short_story,,,,false,
464,novel,,,,false,
467,,,,,false,
473,,,,,false,
476,novel,,,,false,
481,short_story,,,,false,
482,novel,,,,false,
483,collection,,,,false,
484,novel,,,,false,
485,short_story,Metropolitan Magazine,10-01-1917,Oct 1917,false,
486,novel,,,,false,
487,short_story,Hearst's International-Cosmopolitan,03-01-1932,March 1932,false,
488,novel,,,,false,
489,short_story,,,,false,
490,short_story,,,,false,
491,short_story,Woman's Home Companion,06-05-1922,5 Jun-7 Jun 1922,false,
493,,,,,false,
495,,,,,false,
496,,,,,false,
497,,,,,false,
500,short_story,,,,false,
501,short_story,Ainslee's Magazine,,Oct 1923-Apr 1924,false,
512,novel,,,,false,
513,,,,,false,
514,short_story,Snappy Stories,08-01-1925,Aug 1925,false,
519,short_story,Breezy Stories,,,false,
520,,,,,false,
522,,,,,false,
523,novel,,,,false,
526,novel,,,,false,
530,,,,,false,
534,,,,,false,
535,novel,,,,false,
536,,,,,false,
540,,,,,false,
541,short_story,McCall's Magazine,11-01-1935,Nov 1935,false,
543,short_story,Hearst's International-Cosmpolitan,,,false,
549,,,,,false,
550,,,,,false,
555,,,,,false,
565,,,,,false,
566,novel,,,,false,
568,novel,,,,false,
569,novel,,,,false,
570,short_story,,,,false,
575,,,,,false,
583,short_story,,,,false,
587,short_story,,,,false,
591,novel,,,,false,
592,novel,,,,false,
593,novel,,,,false,
596,short_story,Ladies' Home Journal ,09-01-1935,Sep 1935,false,
597,,,,,false,
599,,,,,false,
600,short_story,Collier's National Weekly,08-11-1917,11 Aug-25 Aug 1917,true,3
602,novel,,,,false,
606,,,,,false,
607,novella,Redbook,08-01-1918,Aug-Dec 1918,true,5
615,short_story,,,,false,
628,short_story,American Magazine,12-01-1923,Dec 1923,false,
629,short_story,Saturday Evening Post ,05-07-1921,,false,
636,short_story,Delineator,02-01-1928,Feb-Mar 1928,false,
638,novel,,,,false,
639,,,,,false,
643,novel,,,,false,
646,,,,,false,
655,short_story,,,,false,
664,,,,,false,
665,short_story,,,,true,
668,,,,,false,
669,novella,Lippincott's Monthly Magazine,09-01-13,Sep 1913,false,
670,,,,,false,
674,novel,,,,false,
677,novel,,,,false,
679,,,,,false,
680,,,,,false,
681,short_story,Young's Magazine,,,false,
683,,,,,false,
686,short_story,,,,false,
688,,,,,false,
689,short_story,,,,false,
691,short_story,,,,false,
693,novel,,,,false,
694,novel,,,,false,
696,,,,,false,
700,,,,,false,
701,short_story,Saturday Evening Post,07-14-1923,,false,
702,,,,,false,
703,short_story,Saturday Evening Post,10-18-1924,18 Oct-25 Oct 1924,true,2
707,,,,,false,
710,,,,,false,
712,short_story,Metropolitan Magazine,04-01-1920,April 1920,false,
714,,,,,false,
715,,,,,false,
716,novel,,,,false,
717,,,,,false,
718,short_story,,,,false,
719,short_story,,,,false,
720,short_story,Hearst's International-Cosmopolitan,04-01-1922,April 1922,false,
726,,,,,false,
736,short_story,Collier's,02-01-1941,,false,
737,novel,,,,false,
738,novel,,,,false,
740,,,,,false,
742,novel,,,,false,
743,novel,,,,false,
744,collection,,,,false,
745,short_story,Hearst International,09-01-1924,Sep 1923-Mar 1924,true,7
746,novel,,,,false,
747,novel,,,,false,
748,novel,,,,false,
749,novel,,,,false,
750,novel,Pictorial Review,10-01-1918,Oct 1918-Jan 1919,true,4
751,novel,,,,false,
752,novel,,,,false,
753,novel,,,,false,
754,novel,,,,false,
755,collection,,,,false,
756,novel,,,,false,
757,novel,,,,false,
758,novel,,,,false,
759,novel,,,,false,
760,short_story,Young's Magazine,,,false,
761,,,,,false,
762,novel,,,,false,
763,novel,,,,false,
764,,,,,false,
766,short_story,Hearst's International-Cosmopolitan,05-01-1946,May 1946,false,
768,novel,,,,false,
769,novel,,,,false,
774,,,,,false,
778,,,,,false,
779,novel,,,,false,
782,,,,,false,
783,,,,,false,
785,short_story,All-Story Magazine,12-02-1916,,false,
789,novel,,,,false,
790,novel,,,,false,
796,short_story,Saturday Evening Post,06-09-1917,,false,
803,novel,,,,false,
810,novel,,,,false,
812,,,,,false,
816,,,,,false,
817,short_story,Woman's Home Companion,12-01-1944,Dec 1944,false,
818,short_story,College Humor,08-01-1930,Aug-Oct 1930,false,
820,novel,,,,false,
822,novel,,,,false,
825,short_story,Pearson's,02-01-1907,Feb 1907,false,
826,short_story,,,,false,
827,short_story,Saturday Evening Post,05-12-1917,,false,
828,novel,,,,false,
829,novel,,,,false,
830,short_story,Saturday Evening Post,05-20-1916,,false,
831,short_story,,,,false,
832,short_story,Saturday Evening Post,02-17-1917,,false,
833,short_story,,,,false,
834,short_story,,,,false,
835,novel,,,,false,
836,short_story,Saturday Evening Post,10-04-1919,,false,
837,short_story,Saturday Evening Post,10-05-1912,,false,
838,novel,,,,false,
839,novel,,,,false,
840,short_story,,,,false,
841,novel,,,,false,
842,short_story,Saturday Evening Post ,08-24-1918,,false,
843,short_story,Lippincott's Monthly Magazine,09-01-1909,September 1909,false,
850,novel,,,,false,
852,,,,,false,
863,novel,,,,false,
873,,,,,false,
876,short_story,,,,false,
892,novel,,,,false,
896,,,,,false,
907,novel,,,,false,
913,,,,,false,
914,short_story,American Magazine,11-01-1932,Nov 1932,false,
915,novel,,,,false,
916,short_story,Munsey's Magazine,09-01-1919,Sep 1919-Feb 1920,true,6
917,novel,,,,false,
918,novel,,,,false,
919,,,,,false,
923,novel,,,,false,
924,short_story,Good Housekeeping,06-01-1956,Jun 1956,false,
925,short_story,Saturday Evening Post,,,false,
926,novel,,,,false,
929,,,,,false,
937,,,,,false,
938,,,,,false,
940,novel,,,,false,
942,,,,,false,
943,novel,,,,false,
944,short_story,Snappy Stories,10-18-1916,,false,
945,,,,,false,
946,short_story,Ranch Romances,02-01-1925,Feb 1925,false,
947,short_story,Saturday Evening Post,06-07-1930,,false,
950,short_story,Saturday Evening Post,12-20-1919,,false,
951,short_story,Saturday Evening Post,05-17-1919,,false,
965,novel,,,,false,
966,short_story,Good Housekeeping,06-01-1944,Jun 1944,false,
967,novel,,,,false,
968,novel,,,,false,
969,novel,,,,false,
970,novel,,,,false,
971,poem,,,,false,
972,poem,,,,false,
975,,,,,false,
976,novel,,,,false,
980,,,,,false,
981,,,,,false,
992,,,,,false,
997,,,,,false,
1001,short_story,Liberty,05-04-1940,,false,
1005,novel,,,,false,
1014,short_story,Lippincott's Monthly Magazine,12-01-1908,Dec 1908,false,
1015,novel,,,,false,